code,title,code_title
03.21.00,Reinforcing Steel,03.21.00 - Reinforcing Steel
03.22.00,Welded Wire Fabric Reinforcing,03.22.00 - Welded Wire Fabric Reinforcing
03.23.00,Stressing Tendons,03.23.00 - Stressing Tendons
03.24.00,Fibrous Reinforcing,03.24.00 - Fibrous Reinforcing
03.30.00,Cast-in-Place Concrete,03.30.00 - Cast-in-Place Concrete
03.31.00,Structural Concrete,03.31.00 - Structural Concrete
03.33.00,Architectural Concrete,03.33.00 - Architectural Concrete
03.34.00,Low Density Concrete,03.34.00 - Low Density Concrete
03.35.00,Concrete Finishing,03.35.00 - Concrete Finishing
03.37.00,Specialty Placed Concrete,03.37.00 - Specialty Placed Concrete
03.38.00,Post-Tensioned Concrete,03.38.00 - Post-Tensioned Concrete
03.39.00,Concrete Curing,03.39.00 - Concrete Curing
03.40.00,Precast Concrete,03.40.00 - Precast Concrete
03.41.00,Precast Structural Concrete,03.41.00 - Precast Structural Concrete
03.45.00,Precast Architectural Concrete,03.45.00 - Precast Architectural Concrete
03.47.00,Site-Cast Concrete,03.47.00 - Site-Cast Concrete
03.48.00,Precast Concrete Specialties,03.48.00 - Precast Concrete Specialties
03.49.00,Glass-Fiber-Reinforced Concrete,03.49.00 - Glass-Fiber-Reinforced Concrete
03.50.00,Cast Decks and Underlayment,03.50.00 - Cast Decks and Underlayment
03.51.00,Cast Roof Decks,03.51.00 - Cast Roof Decks
03.52.00,Lightweight Concrete Roof Insulation,03.52.00 - Lightweight Concrete Roof Insulation
03.53.00,Concrete Topping,03.53.00 - Concrete Topping
03.54.00,Cast Underlayment,03.54.00 - Cast Underlayment
03.60.00,Grouting,03.60.00 - Grouting
03.61.00,Cementitious Grouting,03.61.00 - Cementitious Grouting
03.62.00,Non-Shrink Grouting,03.62.00 - Non-Shrink Grouting
03.63.00,Epoxy Grouting,03.63.00 - Epoxy Grouting
03.64.00,Injection Grouting,03.64.00 - Injection Grouting
03.70.00,Mass Concrete,03.70.00 - Mass Concrete
03.71.00,Mass Concrete for Raft Foundations,03.71.00 - Mass Concrete for Raft Foundations
03.72.00,Mass Concrete for Dams,03.72.00 - Mass Concrete for Dams
03.80.00,Concrete Cutting and Boring,03.80.00 - Concrete Cutting and Boring
03.81.00,Concrete Cutting,03.81.00 - Concrete Cutting
03.82.00,Concrete Boring,03.82.00 - Concrete Boring
03.90.00,Unassigned,03.90.00 - Unassigned
04.00.00,Masonry,04.00.00 - Masonry
04.01.00,Maintenance of Masonry,04.01.00 - Maintenance of Masonry
04.05.00,Common Work Results for Masonry,04.05.00 - Common Work Results for Masonry
04.06.00,Schedules for Masonry,04.06.00 - Schedules for Masonry
04.08.00,Commissioning of Masonry,04.08.00 - Commissioning of Masonry
04.10.00,Unassigned,04.10.00 - Unassigned
04.20.00,Unit Masonry,04.20.00 - Unit Masonry
04.21.00,Clay Unit Masonry,04.21.00 - Clay Unit Masonry
04.22.00,Concrete Unit Masonry,04.22.00 - Concrete Unit Masonry
04.22.00.13,Concrete Unit Veneer Masonry,04.22.00.13 - Concrete Unit Veneer Masonry
04.22.00.16,Surface-Bonded Concrete Unit Masonry,04.22.00.16 - Surface-Bonded Concrete Unit Masonry
04.23.00,Glass Unit Masonry,04.23.00 - Glass Unit Masonry
04.24.00,Adobe Unit Masonry,04.24.00 - Adobe Unit Masonry
04.25.00,Unit Masonry Panels,04.25.00 - Unit Masonry Panels
04.27.00,Multiple-Wythe Unit Masonry,04.27.00 - Multiple-Wythe Unit Masonry
04.28.00,Concrete Form Masonry Units,04.28.00 - Concrete Form Masonry Units
04.30.00,Unassigned,04.30.00 - Unassigned
04.40.00,Stone Assemblies,04.40.00 - Stone Assemblies
04.41.00,Dry-Placed Stone,04.41.00 - Dry-Placed Stone
04.42.00,Exterior Stone Cladding,04.42.00 - Exterior Stone Cladding
04.43.00,Stone Masonry,04.43.00 - Stone Masonry
04.50.00,Refractory Masonry,04.50.00 - Refractory Masonry
04.51.00,Flue Liner Masonry,04.51.00 - Flue Liner Masonry
04.52.00,Combustion Chamber Masonry,04.52.00 - Combustion Chamber Masonry
04.53.00,Castable Refractory Masonry,04.53.00 - Castable Refractory Masonry
04.54.00,Refractory Brick Masonry,04.54.00 - Refractory Brick Masonry
04.57.00,Masonry Fireplaces,04.57.00 - Masonry Fireplaces
04.60.00,Corrosion-Resistant Masonry,04.60.00 - Corrosion-Resistant Masonry
04.61.00,Chemical-Resistant Brick Masonry,04.61.00 - Chemical-Resistant Brick Masonry
04.62.00,Vitrified Clay Liner Plate,04.62.00 - Vitrified Clay Liner Plate
04.70.00,Manufactured Masonry,04.70.00 - Manufactured Masonry
04.71.00,Manufactured Brick Masonry,04.71.00 - Manufactured Brick Masonry
04.72.00,Cast Stone Masonry,04.72.00 - Cast Stone Masonry
04.73.00,Manufactured Stone Masonry,04.73.00 - Manufactured Stone Masonry
04.80.00,Unassigned,04.80.00 - Unassigned
04.90.00,Unassigned,04.90.00 - Unassigned
05.00.00,Metals,05.00.00 - Metals
05.01.00,Maintenance of Metals,05.01.00 - Maintenance of Metals
05.05.00,Common Work Results for Metals,05.05.00 - Common Work Results for Metals
05.06.00,Schedules for Metals,05.06.00 - Schedules for Metals
05.08.00,Commissioning of Metals,05.08.00 - Commissioning of Metals
05.10.00,Structural Metal Framing,05.10.00 - Structural Metal Framing
05.12.00,Structural Steel Framing,05.12.00 - Structural Steel Framing
05.13.00,Structural Stainless-Steel Framing,05.13.00 - Structural Stainless-Steel Framing
05.14.00,Structural Aluminum Framing,05.14.00 - Structural Aluminum Framing
05.15.00,Wire Rope Assemblies,05.15.00 - Wire Rope Assemblies
05.16.00,Structural Cabling,05.16.00 - Structural Cabling
05.20.00,Metal Joists,05.20.00 - Metal Joists
05.21.00,Steel Joist Framing,05.21.00 - Steel Joist Framing
05.25.00,Aluminum Joist Framing,05.25.00 - Aluminum Joist Framing
05.30.00,Metal Decking,05.30.00 - Metal Decking
05.31.00,Steel Decking,05.31.00 - Steel Decking
05.33.00,Aluminum Decking,05.33.00 - Aluminum Decking
05.34.00,Acoustical Metal Decking,05.34.00 - Acoustical Metal Decking
05.35.00,Raceway Decking Assemblies,05.35.00 - Raceway Decking Assemblies
05.36.00,Composite Metal Decking,05.36.00 - Composite Metal Decking
05.40.00,Cold-Formed Metal Framing,05.40.00 - Cold-Formed Metal Framing
05.41.00,Structural Metal Stud Framing,05.41.00 - Structural Metal Stud Framing
05.42.00,Cold-Formed Metal Joist Framing,05.42.00 - Cold-Formed Metal Joist Framing
05.43.00,Slotted Channel Framing,05.43.00 - Slotted Channel Framing
05.44.00,Cold-Formed Metal Trusses,05.44.00 - Cold-Formed Metal Trusses
05.45.00,Metal Support Assemblies,05.45.00 - Metal Support Assemblies
05.50.00,Metal Fabrications,05.50.00 - Metal Fabrications
05.51.00,Metal Stairs,05.51.00 - Metal Stairs
05.52.00,Metal Railings,05.52.00 - Metal Railings
05.53.00,Metal Gratings,05.53.00 - Metal Gratings
05.54.00,Metal Floor Plates,05.54.00 - Metal Floor Plates
05.55.00,Metal Stair Treads and Nosings,05.55.00 - Metal Stair Treads and Nosings
05.56.00,Metal Castings,05.56.00 - Metal Castings
05.58.00,Formed Metal Fabrications,05.58.00 - Formed Metal Fabrications
05.59.00,Metal Specialties,05.59.00 - Metal Specialties
05.60.00,Unassigned,05.60.00 - Unassigned
05.70.00,Decorative Metal,05.70.00 - Decorative Metal
05.71.00,Decorative Metal Stairs,05.71.00 - Decorative Metal Stairs
05.73.00,Decorative Metal Railings,05.73.00 - Decorative Metal Railings
05.74.00,Decorative Metal Castings,05.74.00 - Decorative Metal Castings
05.75.00,Decorative Formed Metal,05.75.00 - Decorative Formed Metal
05.76.00,Decorative Forged Metal,05.76.00 - Decorative Forged Metal
05.80.00,Unassigned,05.80.00 - Unassigned
05.90.00,Unassigned,05.90.00 - Unassigned
06.00.00,"Wood, Plastics, and Composites","06.00.00 - Wood, Plastics, and Composites"
06.01.00,"Maintenance of Wood, Plastics, and Composites","06.01.00 - Maintenance of Wood, Plastics, and Composites"
06.05.00,"Common Work Results for Wood, Plastics, and Composites","06.05.00 - Common Work Results for Wood, Plastics, and Composites"
06.06.00,"Schedules for Wood, Plastics, and Composites","06.06.00 - Schedules for Wood, Plastics, and Composites"
06.08.00,"Commissioning of Wood, Plastics, and Composites","06.08.00 - Commissioning of Wood, Plastics, and Composites"
06.10.00,Rough Carpentry,06.10.00 - Rough Carpentry
06.11.00,Wood Framing,06.11.00 - Wood Framing
06.12.00,Structural Panels,06.12.00 - Structural Panels
06.13.00,Heavy Timber,06.13.00 - Heavy Timber
06.14.00,Treated Wood Foundations,06.14.00 - Treated Wood Foundations
06.15.00,Wood Decking,06.15.00 - Wood Decking
06.16.00,Sheathing,06.16.00 - Sheathing
06.17.00,Shop-Fabricated Structural Wood,06.17.00 - Shop-Fabricated Structural Wood
06.18.00,Glued-Laminated Construction,06.18.00 - Glued-Laminated Construction
06.20.00,Finish Carpentry,06.20.00 - Finish Carpentry
06.22.00,Millwork,06.22.00 - Millwork
06.25.00,Prefinished Paneling,06.25.00 - Prefinished Paneling
06.26.00,Board Paneling,06.26.00 - Board Paneling
06.30.00,Unassigned,06.30.00 - Unassigned
06.40.00,Architectural Woodwork,06.40.00 - Architectural Woodwork
06.41.00,Architectural Wood Casework,06.41.00 - Architectural Wood Casework
06.42.00,Wood Paneling,06.42.00 - Wood Paneling
06.43.00,Wood Stairs and Railings,06.43.00 - Wood Stairs and Railings
06.44.00,Ornamental Woodwork,06.44.00 - Ornamental Woodwork
06.46.00,Wood Trim,06.46.00 - Wood Trim
06.48.00,Wood Frames,06.48.00 - Wood Frames
06.49.00,Wood Screens and Exterior Wood Shutters,06.49.00 - Wood Screens and Exterior Wood Shutters
06.50.00,Structural Plastics,06.50.00 - Structural Plastics
06.51.00,Structural Plastic Shapes and Plates,06.51.00 - Structural Plastic Shapes and Plates
06.52.00,Plastic Structural Assemblies,06.52.00 - Plastic Structural Assemblies
06.53.00,Plastic Decking,06.53.00 - Plastic Decking
06.60.00,Plastic Fabrications,06.60.00 - Plastic Fabrications
06.61.00,Simulated Stone Fabrications,06.61.00 - Simulated Stone Fabrications
06.63.00,Plastic Railings,06.63.00 - Plastic Railings
06.64.00,Plastic Paneling,06.64.00 - Plastic Paneling
06.65.00,Plastic Simulated Wood Trim,06.65.00 - Plastic Simulated Wood Trim
06.66.00,Custom Ornamental Simulated Woodwork,06.66.00 - Custom Ornamental Simulated Woodwork
06.70.00,Structural Composites,06.70.00 - Structural Composites
06.71.00,Structural Composite Shapes and Plates,06.71.00 - Structural Composite Shapes and Plates
06.72.00,Composite Structural Assemblies,06.72.00 - Composite Structural Assemblies
06.73.00,Composite Decking,06.73.00 - Composite Decking
06.80.00,Composite Fabrications,06.80.00 - Composite Fabrications
06.81.00,Composite Railings,06.81.00 - Composite Railings
06.82.00,Glass-Fiber-Reinforced Plastic,06.82.00 - Glass-Fiber-Reinforced Plastic
06.90.00,Unassigned,06.90.00 - Unassigned
07.00.00,Thermal and Moisture Protection,07.00.00 - Thermal and Moisture Protection
07.01.00,Operation and Maintenance of Thermal and Moisture Protection,07.01.00 - Operation and Maintenance of Thermal and Moisture Protection
07.05.00,Common Work Results for Thermal and Moisture Protection,07.05.00 - Common Work Results for Thermal and Moisture Protection
07.06.00,Schedules for Thermal and Moisture Protection,07.06.00 - Schedules for Thermal and Moisture Protection
07.08.00,Commissioning of Thermal and Moisture Protection,07.08.00 - Commissioning of Thermal and Moisture Protection
07.10.00,Dampproofing and Waterproofing,07.10.00 - Dampproofing and Waterproofing
07.11.00,Dampproofing,07.11.00 - Dampproofing
07.12.00,Built-Up Bituminous Waterproofing,07.12.00 - Built-Up Bituminous Waterproofing
07.13.00,Sheet Waterproofing,07.13.00 - Sheet Waterproofing
07.14.00,Fluid-Applied Waterproofing,07.14.00 - Fluid-Applied Waterproofing
07.15.00,Sheet Metal Waterproofing,07.15.00 - Sheet Metal Waterproofing
07.16.00,Cementitious and Reactive Waterproofing,07.16.00 - Cementitious and Reactive Waterproofing
07.17.00,Bentonite Waterproofing,07.17.00 - Bentonite Waterproofing
07.18.00,Traffic Coatings,07.18.00 - Traffic Coatings
07.19.00,Water Repellents,07.19.00 - Water Repellents
07.20.00,Thermal Protection,07.20.00 - Thermal Protection
07.21.00,Thermal Insulation,07.21.00 - Thermal Insulation
07.22.00,Roof and Deck Insulation,07.22.00 - Roof and Deck Insulation
07.24.00,Exterior Insulation and Finish Systems,07.24.00 - Exterior Insulation and Finish Systems
07.25.00,Weather Barriers,07.25.00 - Weather Barriers
07.26.00,Vapor Retarders,07.26.00 - Vapor Retarders
07.27.00,Air Barriers,07.27.00 - Air Barriers
07.30.00,Steep Slope Roofing,07.30.00 - Steep Slope Roofing
07.31.00,Shingles and Shakes,07.31.00 - Shingles and Shakes
07.32.00,Roof Tiles,07.32.00 - Roof Tiles
07.33.00,Natural Roof Coverings,07.33.00 - Natural Roof Coverings
07.40.00,Roofing and Siding Panels,07.40.00 - Roofing and Siding Panels
07.41.00,Roof Panels,07.41.00 - Roof Panels
07.42.00,Wall Panels,07.42.00 - Wall Panels
07.44.00,Faced Panels,07.44.00 - Faced Panels
07.46.00,Siding,07.46.00 - Siding
07.50.00,Membrane Roofing,07.50.00 - Membrane Roofing
07.51.00,Built-Up Bituminous Roofing,07.51.00 - Built-Up Bituminous Roofing
07.52.00,Modified Bituminous Membrane Roofing,07.52.00 - Modified Bituminous Membrane Roofing
07.53.00,Elastomeric Membrane Roofing,07.53.00 - Elastomeric Membrane Roofing
07.54.00,Thermoplastic Membrane Roofing,07.54.00 - Thermoplastic Membrane Roofing
07.55.00,Protected Membrane Roofing,07.55.00 - Protected Membrane Roofing
07.56.00,Fluid-Applied Roofing,07.56.00 - Fluid-Applied Roofing
07.57.00,Coated Foamed Roofing,07.57.00 - Coated Foamed Roofing
07.58.00,Roll Roofing,07.58.00 - Roll Roofing
07.60.00,Flashing and Sheet Metal,07.60.00 - Flashing and Sheet Metal
07.61.00,Sheet Metal Roofing,07.61.00 - Sheet Metal Roofing
07.62.00,Sheet Metal Flashing and Trim,07.62.00 - Sheet Metal Flashing and Trim
07.63.00,Sheet Metal Roofing Specialties,07.63.00 - Sheet Metal Roofing Specialties
07.65.00,Flexible Flashing,07.65.00 - Flexible Flashing
07.70.00,Roof and Wall Specialties and Accessories,07.70.00 - Roof and Wall Specialties and Accessories
07.71.00,Roof Specialties,07.71.00 - Roof Specialties
07.72.00,Roof Accessories,07.72.00 - Roof Accessories
07.76.00,Roof Pavers,07.76.00 - Roof Pavers
07.77.00,Wall Specialties,07.77.00 - Wall Specialties
07.80.00,Fire and Smoke Protection,07.80.00 - Fire and Smoke Protection
07.81.00,Applied Fireproofing,07.81.00 - Applied Fireproofing
07.82.00,Board Fireproofing,07.82.00 - Board Fireproofing
07.84.00,Firestopping,07.84.00 - Firestopping
07.86.00,Smoke Seals,07.86.00 - Smoke Seals
07.87.00,Smoke Containment Barriers,07.87.00 - Smoke Containment Barriers
07.90.00,Joint Protection,07.90.00 - Joint Protection
07.91.00,Preformed Joint Seals,07.91.00 - Preformed Joint Seals
07.92.00,Joint Sealants,07.92.00 - Joint Sealants
07.95.00,Expansion Control,07.95.00 - Expansion Control
08.00.00,Openings,08.00.00 - Openings
08.01.00,Operation and Maintenance of Openings,08.01.00 - Operation and Maintenance of Openings
08.05.00,Common Work Results for Openings,08.05.00 - Common Work Results for Openings
08.06.00,Schedules for Openings,08.06.00 - Schedules for Openings
08.08.00,Commissioning of Openings,08.08.00 - Commissioning of Openings
08.10.00,Doors and Frames,08.10.00 - Doors and Frames
08.11.00,Metal Doors and Frames,08.11.00 - Metal Doors and Frames
08.12.00,Metal Frames,08.12.00 - Metal Frames
08.13.00,Metal Doors,08.13.00 - Metal Doors
08.14.00,Wood Doors,08.14.00 - Wood Doors
08.15.00,Plastic Doors,08.15.00 - Plastic Doors
08.16.00,Composite Doors,08.16.00 - Composite Doors
08.17.00,Integrated Door Opening Assemblies,08.17.00 - Integrated Door Opening Assemblies
08.20.00,Unassigned,08.20.00 - Unassigned
08.30.00,Specialty Doors and Frames,08.30.00 - Specialty Doors and Frames
08.31.00,Access Doors and Panels,08.31.00 - Access Doors and Panels
08.32.00,Sliding Glass Doors,08.32.00 - Sliding Glass Doors
08.33.00,Coiling Doors and Grilles,08.33.00 - Coiling Doors and Grilles
08.34.00,Special Function Doors,08.34.00 - Special Function Doors
08.35.00,Folding Doors and Grilles,08.35.00 - Folding Doors and Grilles
08.36.00,Panel Doors,08.36.00 - Panel Doors
08.38.00,Traffic Doors,08.38.00 - Traffic Doors
08.39.00,Pressure-Resistant Doors,08.39.00 - Pressure-Resistant Doors
08.40.00,"Entrances, Storefronts, and Curtain Walls","08.40.00 - Entrances, Storefronts, and Curtain Walls"
08.41.00,Entrances and Storefronts,08.41.00 - Entrances and Storefronts
08.42.00,Entrances,08.42.00 - Entrances
08.43.00,Storefronts,08.43.00 - Storefronts
08.44.00,Curtain Wall and Glazed Assemblies,08.44.00 - Curtain Wall and Glazed Assemblies
08.45.00,Translucent Wall and Roof Assemblies,08.45.00 - Translucent Wall and Roof Assemblies
08.50.00,Windows,08.50.00 - Windows
08.51.00,Metal Windows,08.51.00 - Metal Windows
08.52.00,Wood Windows,08.52.00 - Wood Windows
08.53.00,Plastic Windows,08.53.00 - Plastic Windows
08.54.00,Composite Windows,08.54.00 - Composite Windows
08.55.00,Pressure-Resistant Windows,08.55.00 - Pressure-Resistant Windows
08.56.00,Special Function Windows,08.56.00 - Special Function Windows
08.60.00,Roof Windows and Skylights,08.60.00 - Roof Windows and Skylights
08.61.00,Roof Windows,08.61.00 - Roof Windows
08.62.00,Unit Skylights,08.62.00 - Unit Skylights
08.63.00,Metal-Framed Skylights,08.63.00 - Metal-Framed Skylights
08.64.00,Plastic-Framed Skylights,08.64.00 - Plastic-Framed Skylights
